ushuicang 凔
ushuiming 凕
uzhunshi 凖
ushuicui 凗
ushuisi 凘
ushuixing 凙
ushuijin 凚
ushuibing 凛
ushuihe 凜
ushuiyi 凝
ushuixi 凞
ushuimai 凟
upieyi 几
ujidian 凡
upieji 凢
ushuji 凣
ujiyou 凤
ushiji 凥
uwenji 処
ujijin 凧
ujiyun 凨
ujimu 凩
ujizhi 凪
uniaoji 凫
ujiri 凬
urenji 凭
ujibai 凮
uqiji 凯
ujihuang 凰
uqiji 凱
ujijian 凲
udengji 凳
ufengji 凴
uyishu 凵
uchakuang 凶
ukuangtu 凷
ukuangyi 凸
ukuangyi 凹
ushanshan 出
uershan 击
ushuikuang 凼
ukuangliao 函
ukuangliao 凾
uyekuang 凿
uyipie 刀
uyiheng 刁
ushuyi 刂
udaodian 刃
udaodian 刄
urendian 刅
ubadao 分
uqidao 切
uchadao 刈
uqidao 刉
ugandao 刊
uqiandao 刋
ucundao 刌
udaoxue 刍
uwudao 刎
uqidao 刏
udandao 刐
ukaidao 刑
ugedao 划
uyuandao 刓
ujuedao 刔
udaodao 刕
uyuedao 刖
udaidao 列
uwendao 刘
ubeidao 则
ugangdao 刚
ucangdao 创
ufudao 刜
uyidao 初
uqiedao 刞
uzhaodao 刟
ucedao 删
umindao 刡
ulingdao 刢
utaidao 刣
ubandao 判
ulingdao 別
uqudao 刦
uqudao 刧
ubaodao 刨
uhedao 利
ucedao 刪
ulingdao 别
ujiandao 刬
ujingdao 刭
ushedao 刮
ugendao 刯
uzhidao 到
ujingren 刱
uguidao 刲
ukuadao 刳
uduodao 刴
uerdao 刵
uniudao 制
ushidao 刷
ujuandao 券
ushadao 刹
ucidao 刺
uhaidao 刻
uquren 刼
uhuidao 刽
ujiadao 刾
usuidao 刿
uqidao 剀
uduodao 剁
uqidao 剂
udidao 剃
ujingdao 剄
udoudao 剅
uliangdao 剆
ubeidao 則
uyuandao 剈
uzuodao 剉
uxiaodao 削
ukedao 剋
ushudao 剌
ubadao 前
ushadao 剎
ubingren 剏
uguodao 剐
uqiandao 剑
uxidao 剒
ulidao 剓
uyidao 剔
ufeidao 剕
upoudao 剖
ujiandao 剗
uqidao 剘
ubingren 剙
ushidao 剚
ugangdao 剛
uwandao 剜
uludao 剝
uqidao 剞
uzhuodao 剟
ujingdao 剠
uyandao 剡
ushidao 剢
uqiandao 剣
uqidao 剤
uludao 剥
uyandao 剦
ujudao 剧
ufengdao 剨
uchengdao 剩
uqiandao 剪
ududao 剫
uduandao 剬
uwudao 剭
uguodao 剮
ufudao 副
uchengdao 剰
uqianren 剱
uhaidao 割
udadao 剳
uqidao 剴
ucangdao 創
utuandao 剶
uchandao 剷
uzhuandao 剸
uliudao 剹
uweidao 剺
ubengdao 剻
ucandao 剼
upiaodao 剽
uqudao 剾
uchaodao 剿
uyudao 劀
ujiaodao 劁
ujuedao 劂
uhuadao 劃
udadao 劄
ushudao 劅
uliandao 劆
uhudao 劇
ubidao 劈
umaodao 劉
uhuidao 劊
uzaodao 劋
usuidao 劌
uqiandao 劍
uqiandao 劎
udangdao 劏
uhuodao 劐
uqidao 劑
uqianren 劒
ubidao 劓
uqianren 劔
uzhidao 劕
udaodao 劖
uzandao 劗
umidao 劘
ulidao 劙
ushudao 劚
uyipie 力
uliyi 劜
uyouli 劝
uliba 办
ugongli 功
